Animal,Scientific Name,Height (cm),Weight (kg),Color,Lifespan (years),Diet,Habitat,Predators,Average Speed (km/h),Countries Found,Conservation Status,Family,Gestation Period (days),Top Speed (km/h),Social Structure,Offspring per Birth
Aardvark,Orycteropus afer,105 to 130,40 to 65,Grey,20 to 30,Insectivore,"Savannas, Grasslands","Lions, Hyenas",40,Africa,Least Concern,Orycteropodidae,210 to 240,40,Solitary,1
Aardwolf,Proteles cristata,40 to 50,8 to 14,Yellow-brown,10 to 12,Insectivore,"Grasslands, Savannas","Lions, Leopards",24 to 30,Eastern and Southern Africa,Least Concern,Hyaenidae,90,40,Solitary,2 to 5
Addax,Addax nasomaculatus,95 to 115,60 to 120,White/Grey,19,Herbivore,Deserts,"Lions, Leopards",25,Africa (Sahara),Critically Endangered,Bovidae,260,40,Herds,1
African Buffalo,Syncerus caffer,100 to 170,425 to 870,"Black, Dark Brown",20 to 25,Herbivore,"Savannas, Swamps","Lions, Crocodiles",20,Sub-Saharan Africa,Near Threatened,Bovidae,340,57,Herds,1
African Elephant,Loxodonta africana,270 to 310,2700 to 6000,Grey,60 to 70,Herbivore,"Savannah, Forest","Lions, Hyenas",25,Africa,Vulnerable,Elephantidae,640 to 660,40,Herd-based,1
African Lion,Panthera leo,80 to 110,120 to 250,Tan,10 to 14,Carnivore,"Grasslands, Savannas","Hyenas, Crocodiles",58,Africa,Vulnerable,Felidae,98 to 105,80,Group-based,2 to 4 (usually)
African Wild Dog,Lycaon pictus,75 to 80,18 to 36,Multicolored,10 to 12,Carnivore,Savannahs,"Lions, Hyenas",56,Sub-Saharan Africa,Endangered,Canidae,70,56,Group-based,10 to 12
Aldabra Giant Tortoise,Aldabrachelys gigantea,90 to 120,150 to 250,Brown,100 to 150,Herbivore,Scrublands,None (Apex Predator),1,Seychelles,Vulnerable,Testudinidae,240,2,Solitary/Herds,10 to 25 (eggs)
Alligator Snapping Turtle,Macrochelys temminckii,35 to 80,70 to 90,Dark brown,45 to 70,Carnivore,"Rivers, Swamps, Lakes","Alligators, Birds (for eggs)",2,United States,Vulnerable,Chelydridae,100 to 140,4,Solitary,10 to 50 (eggs)
Alpaca,Vicugna pacos,80 to 100,48 to 84,Various,15 to 20,Herbivore,Mountains,"Pumas, Coyotes",15,South America,Least Concern,Camelidae,345,35,Herds,1
Alpine Ibex,Capra ibex,67 to 101,19 to 120,Brown,15 to 20,Herbivore,"Mountains, Alpine","Wolves, Golden Eagles",56 to 64,European Alps,Least Concern,Bovidae,150,56 to 64,Group-based,1
Amazon Rainforest Frog,Dendrobatidae,2 to 13,Up to 0.5,Various,4 to 17,Insectivore,Amazon Rainforest,"Birds, Snakes",0.1 to 1,Amazon Rainforest,Not Evaluated,Dendrobatidae,10 to 15,0.8,Solitary,Up to 40
American Alligator,Alligator mississippiensis,340 to 460,200 to 450,Olive-brown,35 to 50,Carnivore,"Swamps, Rivers",None (Apex Predator),10,United States,Least Concern,Alligatoridae,65,32,Solitary/Loose Groups,20 to 50 (eggs)
American Bison,Bison bison,152 to 186,"318 to 1,000",Brown,15 to 20,Herbivore,"Grasslands, Plains","Wolves, Grizzly Bears",40 to 56,North America,Near Threatened,Bovidae,270 to 290,56,Group-based,1
Amur Leopard,Panthera pardus orientalis,60 to 70,30 to 60,Pale yellow with rosettes,10 to 15,Carnivore,Temperate Forests,Siberian Tigers,25,"Russia, China",Critically Endangered,Felidae,90 to 105,60,Solitary,1 to 4
Andaman Cobra,Naja sagittifera,100 to 150,1 to 2,"Black, Brown",15,Carnivore,Forests,Birds of Prey,5,India (Andaman Islands),Vulnerable,Elapidae,60,10,Solitary,10 to 20 (eggs)
Arabian Horse,Equus caballus,140 to 160,380 to 1000,Various,25 to 30,Herbivore,"Middle East, North Africa","Humans, Predators",65,"Middle East, North Africa",Domesticated,Equidae,330 to 342,65,Herd-based,1
Arabian Oryx,Orys leucoryx,70 to 90,65 to 90,White,10 to 20,Herbivore,Desert,"Lions, Leopards",55,Middle East,Vulnerable,Bovidae,210 to 240,55,Herd-based,1
Arctic Fox,Vulpes lagopus,25 to 30,2.5 to 9,White,3 to 6,Omnivore,Tundra,Polar Bears,60,Arctic regions,Least Concern,Canidae,52 to 60,60,Solitary,4 to 11
Arctic Wolf,Canis lupus arctos,65 to 80,30 to 50,White,7 to 10,Carnivore,Tundra,Polar Bears (rarely),35,"Canada, Greenland",Least Concern,Canidae,63,60,Packs,4 to 6
Arowana,Osteoglossidae,120,Up to 6.7,"Silver, Gold, Green",10 to 20,"Carnivore, Piscivore","Freshwater Rivers, Lakes","Birds, Larger Fish",16 to 32,"South America, Asia",Not Evaluated,Osteoglossidae,40 to 50,32,Solitary,50 to 250 (eggs)
Asian Elephant,Elephas maximus,200 to 300,2000 to 5000,Grey,60 to 80,Herbivore,"Grasslands, Forests","Tigers, Leopards",40,"Asia (Southeast),Indian Subcontinent,Srilanka",Endangered,Elephantidae,640 to 660,40,Herd-based,1
Asian Small-clawed Otter,Aonyx cinereus,70 to 100,1 to 5,Brown,11 to 16,Carnivore,"Rivers, Wetlands","Crocodiles, Snakes",10,Southeast Asia,Vulnerable,Mustelidae,60,15,Family Groups,1 to 6
Asian Water Monitor,Varanus salvator,150 to 200,10 to 20,Dark brown,10 to 15,Carnivore,"Mangroves, Swamps",Crocodiles,10,Southeast Asia,Least Concern,Varanidae,210 to 240,20,Solitary,15 to 20 (eggs)
Asiatic Black Bear,Ursus thibetanus,70 to 100,90 to 115,Black,25,Omnivore,Forests,"Tigers, Wolves",25,Asia,Vulnerable,Ursidae,200 to 240,40,Solitary,1 to 2
Asiatic Cheetah,Acinonyx jubatus venaticus,70 to 90,34 to 54,Yellow with black spots,12 to 14,Carnivore,"Deserts, Plains","Lions, Hyenas",60,Iran,Critically Endangered,Felidae,90,110,Solitary/Small groups,3 to 5
Asiatic Lion,Panthera leo persica,90 to 110,110 to 190,Tan,16 to 18,Carnivore,"Forests, Savanna",None (Apex Predator),40,India,Endangered,Felidae,110,80,Prides,2 to 4
Atlantic Spotted Dolphin,Stenella frontalis,200 to 250,120 to 140,"Gray, White",20 to 25,Carnivore,"Oceans, Coastal Areas","Sharks, Orcas",40 to 64,Worldwide,Least Concern,Delphinidae,360 to 380,40 to 64,Group-based,1
Australian Fur Seal,Arctocephalus pusillus doriferus,112 to 160,18 to 40,"Brown, Gray",14 to 17,Carnivore,Coastal Waters,"Sharks, Orcas",24 to 40,"Australia, New Zealand",Least Concern,Otariidae,300 to 350,24 to 40,Group-based,1
Axolotl,Ambystoma mexicanum,30,Up to 300,Various,10 to 15,Carnivore,"Lakes, Canals","Fish, Birds",0.8,Mexico,Critically Endangered,Ambystomatidae,14 to 21,0.2 to 0.3,Solitary,100 to 300
Aye-Aye,Daubentonia madagascariensis,35 to 37,2.2 to 2.7,"Black, Brown",20 to 23,"Omnivore, Insectivore",Rainforests,Birds of Prey,32,Madagascar,Endangered,Daubentoniidae,160 to 170,32,Solitary,1
Baboon,Papio,50 to 115,14 to 40,"Brown, Grey",30,Omnivore,"Savanna, Forests","Lions, Leopards",20,"Africa, Arabia",Least Concern,Cercopithecidae,180,45,Troops,1
Bactrian Camel,Camelus bactrianus,180 to 230,300 to 1000,Brown,40 to 50,Herbivore,Deserts,Wolves,20,Central Asia,Critically Endangered,Camelidae,360 to 440,65,Herds,1
Baikal Seal,Pusa sibirica,110 to 140,60 to 70,Dark Grey,50 to 55,Carnivore,Freshwater Lake,Brown Bears,15,Russia,Least Concern,Phocidae,270,20,Solitary,1
Baird's Tapir,Tapirus bairdii,76 to 107,150 to 400,"Brown, Black",25 to 30,Herbivore,"Rainforests, Grasslands","Jaguars, Crocodiles",48,Central and South America,Endangered,Tapiridae,390 to 395,48,Solitary,1
Banded Palm Civet,Hemigalus derbyanus,41 to 71,2 to 5,"Brown, Black, White",7 to 10,Omnivore,Forests,Birds of Prey,16,"Southeast Asia, South Asia",Least Concern,Viverridae,60 to 64,16,Solitary,2 to 5
Barbary Macaque,Macaca sylvanus,75,5 to 13,"Brown, Gray",Up to 30,"Herbivore, Omnivore","Forests, Mountains","Leopards, Eagles",30,"Gibraltar, North Africa, Middle East",Endangered,Cercopithecidae,165 to 200,30,Group-based,1
Basking Shark,Cetorhinus maximus,1100,400 to 700,"Gray, Brown",20 to 25,Carnivore,Oceans,"Orcas, Great White Sharks",14 to 28,Worldwide,Vulnerable,Cetorhinidae,36 to 42 months,14 to 28,Solitary,2 to 4
Bearded Dragon,Pogona,60,Up to 600,Various,6 to 15,Omnivore,"Deserts, Woodlands","Birds, Snakes",40 to 64,Australia,Not Evaluated,Agamidae,40 to 70,40 to 64,Solitary,Up to 24
Beluga,Delphinapterus leucas,400 to 550,1300 to 1500,White,35 to 50,Carnivore,Arctic Ocean,"Orcas, Polar Bears",9,Arctic Regions,Least Concern,Monodontidae,420 to 450,22,Pods,1
Bengal Fox,Vulpes bengalensis,35 to 40,2.5 to 4,Yellowish-gray,6 to 8,Omnivore,Grasslands,"Wolves, Birds of Prey",40,"India, Nepal, Bhutan",Least Concern,Canidae,50 to 60,40,Solitary,2 to 5
Bengal Tiger,Panthera tigris tigris,90 to 110,220 to 260,"Orange, Black",10 to 15,Carnivore,"Grasslands, Mangroves","Humans, Crocodiles",65,"India, Bangladesh, Nepal",Endangered,Felidae,104 to 106,65,Solitary,2 to 4 (usually)
Bighorn Sheep,Ovis canadensis,75 to 105,53 to 140,Brown,10 to 15,Herbivore,"Alpine Meadows, Rocky Mountains","Pumas, Wolves, Bears",20,North America,Least Concern,Bovidae,175,48,Herds,1
Binturong,Arctictis binturong,60 to 90,9 to 20,Black,18,Omnivore,Rainforests,"Tigers, Snakes",5,Southeast Asia,Vulnerable,Viverridae,90,15,Solitary,1 to 3
Black Mamba,Dendroaspis polylepis,200 to 300,1.6,Olive-brown,11,Carnivore,"Savannas, Woodlands","Birds of Prey, Mongoose",20,Africa,Least Concern,Elapidae,60 to 90,20,Solitary,6 to 17 (eggs)
Black Rhinoceros,Diceros bicornis,132 to 180,"800 to 1,400","Gray, Black",35 to 50,Herbivore,"Grasslands, Forests","Lions, Hyenas",56,Eastern and Southern Africa,Critically Endangered,Rhinocerotidae,450 to 480,56,Solitary,1
Black-tailed Prairie Dog,Cynomys ludovicianus,35 to 40,0.7 to 1.5,Tan,3 to 5,Herbivore,Grasslands,"Coyotes, Eagles, Badgers",15,North America,Least Concern,Sciuridae,34,35,Towns/Colonies,3 to 4
Blackbuck,Antilope cervicapra,74 to 84,20 to 57,"Black, White",10 to 15,Herbivore,Grasslands,"Wolves, Leopards",60,"India, Nepal",Least Concern,Bovidae,167,80,Herds,1
Blesbok,Damaliscus pygargus phillipsi,85 to 100,55 to 80,Brown with white face,14,Herbivore,Grasslands,"Lions, Cheetahs",40,South Africa,Least Concern,Bovidae,240,70,Herds,1
